datetime,open,high,low,close,volume
2025-05-07 13:30:00,198.190002,199.294998,198.160004,198.190002,2973472
2025-05-07 13:31:00,198.169998,198.970001,198.139999,198.565002,240733
2025-05-07 13:32:00,198.580002,199.009995,198.410004,198.800003,236166
2025-05-07 13:33:00,198.830002,199.139999,198.619995,198.649994,141094
2025-05-07 13:34:00,198.619995,198.785004,198.369995,198.570007,138881
2025-05-07 13:35:00,198.529999,198.570007,197.449997,197.850006,351823
2025-05-07 13:36:00,197.839996,198.009903,197.600006,197.649994,168979
2025-05-07 13:37:00,197.660004,197.899994,197.550003,197.619995,174939
2025-05-07 13:38:00,197.589996,197.679993,197.440002,197.509995,145269
2025-05-07 13:39:00,197.542007,197.934998,197.350006,197.909607,155341
2025-05-07 13:40:00,197.899994,198.255005,197.886795,198.160004,205238
2025-05-07 13:41:00,198.179993,198.365005,198.110001,198.119995,122635
2025-05-07 13:42:00,198.130005,198.240005,197.770004,198.000000,146767
2025-05-07 13:43:00,197.990005,198.225006,197.960007,198.214996,95608
2025-05-07 13:44:00,198.229996,198.470001,198.229996,198.330002,122056
2025-05-07 13:45:00,198.320007,198.544800,198.320007,198.380005,169322
2025-05-07 13:46:00,198.369995,198.579193,198.231201,198.429993,103134
2025-05-07 13:47:00,198.440002,198.539993,198.369995,198.505005,56250
2025-05-07 13:48:00,198.505005,198.690002,197.800003,198.169998,415738
2025-05-07 13:49:00,198.179993,198.205002,197.720001,197.968903,131591
2025-05-07 13:50:00,197.960007,198.100006,197.720001,197.824997,178725
2025-05-07 13:51:00,197.848099,198.020004,197.820007,197.830002,125269
2025-05-07 13:52:00,197.815002,198.000000,197.720001,197.934998,85514
2025-05-07 13:53:00,197.959396,198.110001,197.850006,197.890503,117319
2025-05-07 13:54:00,197.910004,197.960007,197.750000,197.871201,85040
2025-05-07 13:55:00,197.865005,198.089706,197.729996,197.945007,105238
2025-05-07 13:56:00,197.979996,198.029999,197.869995,197.934998,100666
2025-05-07 13:57:00,197.940002,198.014297,197.820007,197.828400,69280
2025-05-07 13:58:00,197.859695,197.859695,197.679993,197.837906,121534
2025-05-07 13:59:00,197.860001,197.917999,197.710007,197.804993,91074
2025-05-07 14:00:00,197.804993,198.079895,197.750000,198.005005,133135
2025-05-07 14:01:00,198.005005,198.097198,197.929993,198.049896,101703
2025-05-07 14:02:00,198.050003,198.063904,197.899994,198.051407,70390
2025-05-07 14:03:00,198.050003,198.271896,198.029999,198.149994,138658
