datetime,open,high,low,close,volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2025-05-07 13:30:00+00:00,198.19000244140625,199.2949981689453,198.16000366210938,198.19000244140625,2973472
2025-05-07 13:31:00+00:00,198.1699981689453,198.97000122070312,198.13999938964844,198.56500244140625,240733
2025-05-07 13:32:00+00:00,198.5800018310547,199.00999450683594,198.41000366210938,198.8000030517578,236166
2025-05-07 13:33:00+00:00,198.8300018310547,199.13999938964844,198.6199951171875,198.64999389648438,141094
2025-05-07 13:34:00+00:00,198.6199951171875,198.78500366210938,198.3699951171875,198.57000732421875,138881
2025-05-07 13:35:00+00:00,198.52999877929688,198.57000732421875,197.4499969482422,197.85000610351562,351823
2025-05-07 13:36:00+00:00,197.83999633789062,198.00990295410156,197.60000610351562,197.64999389648438,168979
2025-05-07 13:37:00+00:00,197.66000366210938,197.89999389648438,197.5500030517578,197.6199951171875,174939
2025-05-07 13:38:00+00:00,197.58999633789062,197.67999267578125,197.44000244140625,197.50999450683594,145269
2025-05-07 13:39:00+00:00,197.54200744628906,197.93499755859375,197.35000610351562,197.90960693359375,155341
2025-05-07 13:40:00+00:00,197.89999389648438,198.2550048828125,197.8867950439453,198.16000366210938,205238
2025-05-07 13:41:00+00:00,198.17999267578125,198.36500549316406,198.11000061035156,198.1199951171875,122635
2025-05-07 13:42:00+00:00,198.1300048828125,198.24000549316406,197.77000427246094,198.0,146767
2025-05-07 13:43:00+00:00,197.99000549316406,198.22500610351562,197.9600067138672,198.21499633789062,95608
2025-05-07 13:44:00+00:00,198.22999572753906,198.47000122070312,198.22999572753906,198.3300018310547,122056
2025-05-07 13:45:00+00:00,198.32000732421875,198.5447998046875,198.32000732421875,198.3800048828125,169322
2025-05-07 13:46:00+00:00,198.3699951171875,198.57919311523438,198.231201171875,198.42999267578125,103134
2025-05-07 13:47:00+00:00,198.44000244140625,198.5399932861328,198.3699951171875,198.5050048828125,56250
