trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
0,"{'vwap_dev_threshold': 0.0049674499821434044, 'stop_loss': 0.018537465459410294, 'take_profit': 0.02422010937005346, 'max_hold_minutes': 44, 'min_volume': 1533, 'trailing_stop': 0.007551728537916011, 'max_trades_per_day': 4}",0.0001482021004913505,0.25,12,-0.00012995973737096376,-6.497023853245304e-05
1,"{'vwap_dev_threshold': 0.003335656332330592, 'stop_loss': 0.010663985799426033, 'take_profit': 0.02367932322649367, 'max_hold_minutes': 46, 'min_volume': 4693, 'trailing_stop': 0.004081030849722228, 'max_trades_per_day': 5}",0.00010692743505128887,0.3157894736842105,19,-0.00010446364527633462,-6.596998436632998e-05
2,"{'vwap_dev_threshold': 0.0011024069496042043, 'stop_loss': 0.018429593255036954, 'take_profit': 0.021651174272330775, 'max_hold_minutes': 42, 'min_volume': 3894, 'trailing_stop': 0.006010043079885809, 'max_trades_per_day': 4}",9.468543011040311e-05,0.375,16,-9.468991305869476e-05,-7.101071047766227e-05
3,"{'vwap_dev_threshold': 0.004549805365379368, 'stop_loss': 0.014719541796181856, 'take_profit': 0.028737708370825614, 'max_hold_minutes': 21, 'min_volume': 2132, 'trailing_stop': 0.0030375674842795766, 'max_trades_per_day': 5}",0.00012660302180051257,0.2222222222222222,18,-9.601353329162926e-05,-4.266727897252479e-05
4,"{'vwap_dev_threshold': 0.0022062050104895508, 'stop_loss': 0.008341544738953403, 'take_profit': 0.012562020789600262, 'max_hold_minutes': 43, 'min_volume': 3180, 'trailing_stop': 0.007202060148281828, 'max_trades_per_day': 3}",0.00010980390593016637,0.4166666666666667,12,-0.00010980993482039689,-9.149823105053641e-05
5,"{'vwap_dev_threshold': 0.0035655270891026443, 'stop_loss': 0.0050975823172404264, 'take_profit': 0.020765630563246467, 'max_hold_minutes': 39, 'min_volume': 2064, 'trailing_stop': 0.0055227827993368055, 'max_trades_per_day': 2}",4.28504515566113e-05,0.375,8,-3.9322052911556756e-05,-2.949027595787502e-05
6,"{'vwap_dev_threshold': 0.003123518057199158, 'stop_loss': 0.006426188525852486, 'take_profit': 0.020376643400426095, 'max_hold_minutes': 29, 'min_volume': 2553, 'trailing_stop': 0.004712959796513819, 'max_trades_per_day': 3}",9.292917286977172e-05,0.3333333333333333,12,-9.293349105284856e-05,-6.194990321359541e-05
7,"{'vwap_dev_threshold': 0.0042211999803445175, 'stop_loss': 0.01626360407798148, 'take_profit': 0.023559327384593466, 'max_hold_minutes': 23, 'min_volume': 4414, 'trailing_stop': 0.005545526939247179, 'max_trades_per_day': 2}",0.00012784678164705555,0.375,8,-0.00011553552385135993,-8.664056475485223e-05
8,"{'vwap_dev_threshold': 0.0016593048199545857, 'stop_loss': 0.012263115929498995, 'take_profit': 0.031209783641008515, 'max_hold_minutes': 51, 'min_volume': 1036, 'trailing_stop': 0.00810616396528551, 'max_trades_per_day': 2}",4.920943513992824e-05,0.375,8,-2.5129680937844616e-05,-1.8846333240330315e-05
9,"{'vwap_dev_threshold': 0.004345297924125228, 'stop_loss': 0.017071593667837615, 'take_profit': 0.012123713616722664, 'max_hold_minutes': 34, 'min_volume': 4870, 'trailing_stop': 0.008564335724313126, 'max_trades_per_day': 2}",0.00013769525680872654,0.375,8,-0.0001253852201980869,-9.402596643599378e-05
10,"{'vwap_dev_threshold': 0.0019821632698628034, 'stop_loss': 0.01244931620911266, 'take_profit': 0.03913569243815357, 'max_hold_minutes': 60, 'min_volume': 569, 'trailing_stop': 0.009735289500443544, 'max_trades_per_day': 3}",0.00012729676217990344,0.4,10,-0.00011267930029398386,-9.01319652671134e-05
11,"{'vwap_dev_threshold': 0.0022697911765165012, 'stop_loss': 0.0063991719068699215, 'take_profit': 0.031651787501846565, 'max_hold_minutes': 55, 'min_volume': 1048, 'trailing_stop': 0.008406750230386752, 'max_trades_per_day': 2}",3.340571492008167e-05,0.5,8,-9.325688454345749e-06,-9.32537692305581e-06
12,"{'vwap_dev_threshold': 0.0020738019187143035, 'stop_loss': 0.010539276899924711, 'take_profit': 0.033105482535472415, 'max_hold_minutes': 56, 'min_volume': 595, 'trailing_stop': 0.008871390508205864, 'max_trades_per_day': 2}",4.162101200985489e-05,0.5,8,-1.754109590409137e-05,-1.754036582592808e-05
13,"{'vwap_dev_threshold': 0.0025307876262949495, 'stop_loss': 0.009071665055563092, 'take_profit': 0.03609540565616641, 'max_hold_minutes': 60, 'min_volume': 704, 'trailing_stop': 0.009804464591767639, 'max_trades_per_day': 2}",6.214698512034375e-05,0.25,8,-6.214891632419633e-05,-3.107252697820915e-05
14,"{'vwap_dev_threshold': 0.00262503719380892, 'stop_loss': 0.008164181551356026, 'take_profit': 0.03217712156185296, 'max_hold_minutes': 53, 'min_volume': 1440, 'trailing_stop': 0.008880553351978722, 'max_trades_per_day': 3}",0.00012353505899023728,0.2,10,-0.00011475258281609865,-4.589536273960448e-05
15,"{'vwap_dev_threshold': 0.0013640952062525557, 'stop_loss': 0.010080453532396401, 'take_profit': 0.035345511598428477, 'max_hold_minutes': 54, 'min_volume': 1355, 'trailing_stop': 0.006771956888170795, 'max_trades_per_day': 2}",3.92638521801564e-05,0.5,8,-1.8483463018372184e-05,-1.8482737286412454e-05
16,"{'vwap_dev_threshold': 0.001886765347680899, 'stop_loss': 0.006972350181255851, 'take_profit': 0.0286010917679962, 'max_hold_minutes': 49, 'min_volume': 1916, 'trailing_stop': 0.009006688951552001, 'max_trades_per_day': 4}",9.870360722023179e-05,0.25,16,-9.870847874179594e-05,-4.934936792944045e-05
17,"{'vwap_dev_threshold': 0.002641833149887425, 'stop_loss': 0.014183830056917963, 'take_profit': 0.03942930889770529, 'max_hold_minutes': 57, 'min_volume': 3219, 'trailing_stop': 0.0078088240683695685, 'max_trades_per_day': 3}",0.00011580276601016521,0.25,12,-0.00011580947166819986,-5.7898030305525254e-05
18,"{'vwap_dev_threshold': 0.003843089022596444, 'stop_loss': 0.005135826477177794, 'take_profit': 0.02812371842907724, 'max_hold_minutes': 32, 'min_volume': 509, 'trailing_stop': 0.009125644499318547, 'max_trades_per_day': 2}",0.0001347481672599966,0.375,8,-0.00012243775504595496,-9.181594258714431e-05
19,"{'vwap_dev_threshold': 0.002283387200848721, 'stop_loss': 0.010143291493522269, 'take_profit': 0.03411997840062257, 'max_hold_minutes': 49, 'min_volume': 1054, 'trailing_stop': 0.006682898246046764, 'max_trades_per_day': 3}",9.335667605002528e-05,0.3333333333333333,12,-9.336103405575445e-05,-6.223487878662827e-05
20,"{'vwap_dev_threshold': 0.0029539702574195607, 'stop_loss': 0.011228863540480093, 'take_profit': 0.01635319114403779, 'max_hold_minutes': 57, 'min_volume': 2740, 'trailing_stop': 0.008130873955918985, 'max_trades_per_day': 2}",4.165424503022223e-05,0.375,8,-4.165511259237678e-05,-3.124003311008257e-05
21,"{'vwap_dev_threshold': 0.0011896457416344908, 'stop_loss': 0.00937832342212559, 'take_profit': 0.0361731298958027, 'max_hold_minutes': 55, 'min_volume': 1259, 'trailing_stop': 0.006894720078470524, 'max_trades_per_day': 2}",3.92638521801564e-05,0.5,8,-1.8483463018372184e-05,-1.8482737286412454e-05
22,"{'vwap_dev_threshold': 0.00153415473347518, 'stop_loss': 0.007151356233152072, 'take_profit': 0.032199325880182934, 'max_hold_minutes': 48, 'min_volume': 1597, 'trailing_stop': 0.0063512707583724725, 'max_trades_per_day': 2}",4.309019200998591e-05,0.375,8,-1.901030275484166e-05,-1.425711269793434e-05
23,"{'vwap_dev_threshold': 0.0015490947272915226, 'stop_loss': 0.007106083373388678, 'take_profit': 0.030887769203215218, 'max_hold_minutes': 48, 'min_volume': 928, 'trailing_stop': 0.007376587792703081, 'max_trades_per_day': 2}",4.309019200998591e-05,0.375,8,-1.901030275484166e-05,-1.425711269793434e-05
24,"{'vwap_dev_threshold': 0.0015978458167134357, 'stop_loss': 0.007165383609655989, 'take_profit': 0.03060714534767849, 'max_hold_minutes': 47, 'min_volume': 1774, 'trailing_stop': 0.006154964092301849, 'max_trades_per_day': 3}",9.276297293996322e-05,0.3333333333333333,12,-9.276727569058631e-05,-6.183911354820114e-05
25,"{'vwap_dev_threshold': 0.0015246496030134984, 'stop_loss': 0.006154582573104386, 'take_profit': 0.027212897761267476, 'max_hold_minutes': 39, 'min_volume': 2392, 'trailing_stop': 0.0073678218873922795, 'max_trades_per_day': 2}",4.280551696996554e-05,0.5,8,-2.6318283252843423e-05,-2.6317156685123022e-05
26,"{'vwap_dev_threshold': 0.0010011718054069928, 'stop_loss': 0.007397985008631508, 'take_profit': 0.026971456354071343, 'max_hold_minutes': 16, 'min_volume': 961, 'trailing_stop': 0.005288966467552491, 'max_trades_per_day': 3}",0.00010621701788986684,0.3333333333333333,12,-0.00010622265931674557,-7.08075844417604e-05
