trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
0,"{'vwap_dev_threshold': 0.004494254576838785, 'stop_loss': 0.01807803465165519, 'take_profit': 0.030982601624862917, 'max_hold_minutes': 17, 'min_volume': 3003, 'trailing_stop': 0.00457789657993102, 'max_trades_per_day': 5}",9.607566344164056e-05,0.2631578947368421,19,-5.0430153298605e-05,-2.6539635888510197e-05
1,"{'vwap_dev_threshold': 0.004181098526541258, 'stop_loss': 0.011426096909864245, 'take_profit': 0.016946288027850396, 'max_hold_minutes': 17, 'min_volume': 3144, 'trailing_stop': 0.007608604608823151, 'max_trades_per_day': 3}",9.560022097079076e-05,0.4166666666666667,12,-9.002563001498637e-05,-7.50141862873866e-05
2,"{'vwap_dev_threshold': 0.002296709326182593, 'stop_loss': 0.0128050830038209, 'take_profit': 0.036379751142069414, 'max_hold_minutes': 15, 'min_volume': 1451, 'trailing_stop': 0.009160390975181665, 'max_trades_per_day': 5}",0.0001324480601882724,0.3333333333333333,15,-8.650852787473303e-05,-5.766471332535084e-05
3,"{'vwap_dev_threshold': 0.004375060916846259, 'stop_loss': 0.005652206788416548, 'take_profit': 0.02061120986579438, 'max_hold_minutes': 48, 'min_volume': 1956, 'trailing_stop': 0.009681071848490173, 'max_trades_per_day': 3}",5.622258873858137e-05,0.5454545454545454,11,2.6688070100614765e-05,2.9112621412609383e-05
4,"{'vwap_dev_threshold': 0.00356746162593879, 'stop_loss': 0.01965598031431919, 'take_profit': 0.019628462365988954, 'max_hold_minutes': 43, 'min_volume': 1041, 'trailing_stop': 0.008767083700988961, 'max_trades_per_day': 3}",0.00012328810796898135,0.625,8,-6.147563359748542e-05,-7.683506797866624e-05
5,"{'vwap_dev_threshold': 0.001668954882393448, 'stop_loss': 0.01664029079633917, 'take_profit': 0.026712525254390537, 'max_hold_minutes': 52, 'min_volume': 945, 'trailing_stop': 0.00833919005008185, 'max_trades_per_day': 4}",6.152028196343019e-05,0.5384615384615384,13,0.00013468000390131764,0.00014503108129946456
6,"{'vwap_dev_threshold': 0.0010446503458390252, 'stop_loss': 0.005404529843653641, 'take_profit': 0.037528482741020726, 'max_hold_minutes': 32, 'min_volume': 1284, 'trailing_stop': 0.007797029017953117, 'max_trades_per_day': 2}",3.5809982865420964e-05,0.5,8,6.5586486121330764e-06,6.558413747038656e-06
7,"{'vwap_dev_threshold': 0.004836599315085527, 'stop_loss': 0.01589921096427629, 'take_profit': 0.03906202079206312, 'max_hold_minutes': 25, 'min_volume': 2411, 'trailing_stop': 0.004673538964519451, 'max_trades_per_day': 2}",3.2161090392049896e-05,0.625,8,1.5115746987006693e-05,1.8894076060126875e-05
8,"{'vwap_dev_threshold': 0.0011062162797061746, 'stop_loss': 0.017499237608649368, 'take_profit': 0.037482953041424495, 'max_hold_minutes': 49, 'min_volume': 621, 'trailing_stop': 0.006856495965829519, 'max_trades_per_day': 4}",7.358158201151457e-05,0.4375,16,0.0001023607025951265,8.955902439110703e-05
9,"{'vwap_dev_threshold': 0.0018683220032545478, 'stop_loss': 0.009251751070061256, 'take_profit': 0.03232987990163383, 'max_hold_minutes': 59, 'min_volume': 3380, 'trailing_stop': 0.008100509585614967, 'max_trades_per_day': 3}",8.668663818933961e-05,0.36363636363636365,11,-4.573742921980721e-05,-3.326070137878453e-05
