trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
0,"{'vwap_dev_threshold': 0.0015513755816072554, 'stop_loss': 0.013349026664393963, 'take_profit': 0.03717272756943117, 'max_hold_minutes': 37, 'min_volume': 4588, 'trailing_stop': 0.008731747286509649, 'max_trades_per_day': 4}",8.678206565402255e-05,0.09090909090909091,11,-8.395937865975314e-05,-1.5264016816625822e-05
1,"{'vwap_dev_threshold': 0.003586743402738846, 'stop_loss': 0.014932689082469738, 'take_profit': 0.028993230072612078, 'max_hold_minutes': 41, 'min_volume': 2179, 'trailing_stop': 0.007758129733535186, 'max_trades_per_day': 4}",7.432410089953919e-05,0.18181818181818182,11,-6.811969903354161e-05,-2.4768958581148144e-05
2,"{'vwap_dev_threshold': 0.001149281724136189, 'stop_loss': 0.007324775141262737, 'take_profit': 0.012843511316179584, 'max_hold_minutes': 40, 'min_volume': 4680, 'trailing_stop': 0.007566957056888079, 'max_trades_per_day': 3}",0.00013197087530149724,0.1111111111111111,9,-7.650017030327222e-05,-1.699779433529702e-05
3,"{'vwap_dev_threshold': 0.003990447163971272, 'stop_loss': 0.01169417694909287, 'take_profit': 0.030307984982922698, 'max_hold_minutes': 42, 'min_volume': 4964, 'trailing_stop': 0.006361499610853584, 'max_trades_per_day': 2}",4.043312883994076e-05,0.3333333333333333,6,-2.133905660612206e-05,-1.4225462534197987e-05
4,"{'vwap_dev_threshold': 0.004128341412787899, 'stop_loss': 0.00883824431588909, 'take_profit': 0.02844509486338561, 'max_hold_minutes': 49, 'min_volume': 4837, 'trailing_stop': 0.005449117347142598, 'max_trades_per_day': 4}",6.052342078983202e-05,0.18181818181818182,11,-4.9282494292042e-05,-1.791982238069178e-05
5,"{'vwap_dev_threshold': 0.004089138440163648, 'stop_loss': 0.0190154188083314, 'take_profit': 0.03954211686067352, 'max_hold_minutes': 25, 'min_volume': 1307, 'trailing_stop': 0.0043984322487169315, 'max_trades_per_day': 4}",5.1438878769840815e-05,0.2727272727272727,11,-2.9097492287627542e-05,-1.587054302468141e-05
6,"{'vwap_dev_threshold': 0.0014119867201109124, 'stop_loss': 0.006755606016096052, 'take_profit': 0.02853680866784556, 'max_hold_minutes': 15, 'min_volume': 2259, 'trailing_stop': 0.005741689345276635, 'max_trades_per_day': 4}",4.593711301182627e-05,0.2727272727272727,11,-1.6389178501723807e-05,-8.9391412528248e-06
7,"{'vwap_dev_threshold': 0.004988010575940144, 'stop_loss': 0.013219430774926731, 'take_profit': 0.03705009037778918, 'max_hold_minutes': 54, 'min_volume': 4427, 'trailing_stop': 0.009741785507720684, 'max_trades_per_day': 5}",8.551601900020614e-05,0.4166666666666667,12,-8.00113019793436e-05,-6.667038310943609e-05
8,"{'vwap_dev_threshold': 0.0015414941218637925, 'stop_loss': 0.014747790377779672, 'take_profit': 0.03510980362793762, 'max_hold_minutes': 20, 'min_volume': 2467, 'trailing_stop': 0.00957509962165607, 'max_trades_per_day': 3}",0.0001248275637769547,0.1111111111111111,9,-7.669408006565038e-05,-1.70410014512177e-05
9,"{'vwap_dev_threshold': 0.002595711619799282, 'stop_loss': 0.009303294616625546, 'take_profit': 0.032264146003341224, 'max_hold_minutes': 44, 'min_volume': 848, 'trailing_stop': 0.005670124412999248, 'max_trades_per_day': 3}",0.00010327918180665511,0.4444444444444444,9,-8.31466456678901e-06,-7.390049631142716e-06
10,"{'vwap_dev_threshold': 0.0028653523433880813, 'stop_loss': 0.005071669894197056, 'take_profit': 0.020582194500192594, 'max_hold_minutes': 59, 'min_volume': 717, 'trailing_stop': 0.00344604568794187, 'max_trades_per_day': 2}",3.139928589982446e-05,0.16666666666666666,6,-2.7390821084899975e-05,-9.129987010892566e-06
11,"{'vwap_dev_threshold': 0.0024655107522504687, 'stop_loss': 0.0093021362276628, 'take_profit': 0.02501654662737629, 'max_hold_minutes': 30, 'min_volume': 3419, 'trailing_stop': 0.005446040028487029, 'max_trades_per_day': 5}",0.00010971759707398114,0.2857142857142857,14,-2.8018996568421483e-05,-1.6009098509397466e-05
12,"{'vwap_dev_threshold': 0.002078679395978678, 'stop_loss': 0.005206763266595662, 'take_profit': 0.020996048536704916, 'max_hold_minutes': 17, 'min_volume': 1519, 'trailing_stop': 0.005842665577961744, 'max_trades_per_day': 3}",0.0001256210873220097,0.2222222222222222,9,-7.360912203501872e-05,-3.271105563425416e-05
13,"{'vwap_dev_threshold': 0.0019394388806930922, 'stop_loss': 0.010266992732675714, 'take_profit': 0.03308354507310638, 'max_hold_minutes': 33, 'min_volume': 520, 'trailing_stop': 0.004361727819459093, 'max_trades_per_day': 3}",9.653632710439411e-05,0.4444444444444444,9,-5.72575836223157e-06,-5.0890716609327936e-06
14,"{'vwap_dev_threshold': 0.002183941750548304, 'stop_loss': 0.010666803773758613, 'take_profit': 0.03313393713074667, 'max_hold_minutes': 32, 'min_volume': 955, 'trailing_stop': 0.004206616370685797, 'max_trades_per_day': 2}",3.226448491949991e-05,0.3333333333333333,6,-1.0240752356164417e-05,-6.8269479623763045e-06
15,"{'vwap_dev_threshold': 0.001948188331624025, 'stop_loss': 0.011090794323872015, 'take_profit': 0.0336598453214213, 'max_hold_minutes': 32, 'min_volume': 500, 'trailing_stop': 0.0030455910108971784, 'max_trades_per_day': 2}",3.162148837078899e-05,0.16666666666666666,6,-2.618404783911694e-05,-8.727739953517565e-06
