trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
0,"{'vwap_dev_threshold': 0.002546899867248123, 'stop_loss': 0.0058071260021427375, 'take_profit': 0.016478409351406962, 'max_hold_minutes': 37, 'min_volume': 1398, 'trailing_stop': 0.009492679439832601, 'max_trades_per_day': 2}",0.00019231340295188502,0.125,8,-0.0001765276223936776,-4.4123418441475016e-05
1,"{'vwap_dev_threshold': 0.0014932572296414586, 'stop_loss': 0.011179342102993064, 'take_profit': 0.02860584409577132, 'max_hold_minutes': 48, 'min_volume': 4065, 'trailing_stop': 0.0036680527314953337, 'max_trades_per_day': 4}",0.00016661422623494822,0.3125,16,-0.00016205933020374064,-0.00010127020550864661
2,"{'vwap_dev_threshold': 0.003929114594914467, 'stop_loss': 0.008384904024888487, 'take_profit': 0.026506318664965528, 'max_hold_minutes': 38, 'min_volume': 3862, 'trailing_stop': 0.006824358131690068, 'max_trades_per_day': 3}",0.00012720354279239048,0.375,8,8.64313728310591e-05,6.481528384066994e-05
3,"{'vwap_dev_threshold': 0.0035336746654336146, 'stop_loss': 0.016456703264088542, 'take_profit': 0.010847031472490883, 'max_hold_minutes': 39, 'min_volume': 4298, 'trailing_stop': 0.0071589131552484715, 'max_trades_per_day': 2}",0.00010818982124163042,0.5714285714285714,7,0.0002552335932751801,0.0002916639766838272
4,"{'vwap_dev_threshold': 0.004142833302594233, 'stop_loss': 0.016486083379673586, 'take_profit': 0.02313398738357284, 'max_hold_minutes': 45, 'min_volume': 4614, 'trailing_stop': 0.009428281937593362, 'max_trades_per_day': 4}",0.0003816440574414947,0.0,6,-0.0003043406881995428,-0.0
5,"{'vwap_dev_threshold': 0.004965531864950114, 'stop_loss': 0.00934860140677402, 'take_profit': 0.024308320832794106, 'max_hold_minutes': 31, 'min_volume': 779, 'trailing_stop': 0.007333979217362806, 'max_trades_per_day': 3}",0.00036014805229987577,0.16666666666666666,6,-0.00026695454875512106,-8.895280186477811e-05
6,"{'vwap_dev_threshold': 0.0015758891375486166, 'stop_loss': 0.016252487844566045, 'take_profit': 0.029496565808909886, 'max_hold_minutes': 35, 'min_volume': 3753, 'trailing_stop': 0.008727122267743179, 'max_trades_per_day': 3}",0.0001871449613331001,0.3,10,-9.605971012716955e-07,-5.762503982185927e-07
7,"{'vwap_dev_threshold': 0.004873290601326273, 'stop_loss': 0.011034881804481424, 'take_profit': 0.023982338852661073, 'max_hold_minutes': 56, 'min_volume': 2513, 'trailing_stop': 0.007633235239320093, 'max_trades_per_day': 4}",0.00036014805229987577,0.16666666666666666,6,-0.00026695454875512106,-8.895280186477811e-05
8,"{'vwap_dev_threshold': 0.001068968684989288, 'stop_loss': 0.005953810837754234, 'take_profit': 0.03182050099818111, 'max_hold_minutes': 45, 'min_volume': 774, 'trailing_stop': 0.009766171108176371, 'max_trades_per_day': 3}",0.0001827573330629125,0.16666666666666666,12,-0.00012330853235459054,-4.10953322720245e-05
9,"{'vwap_dev_threshold': 0.0016742700268558481, 'stop_loss': 0.01873230854145492, 'take_profit': 0.01486443284430122, 'max_hold_minutes': 41, 'min_volume': 3717, 'trailing_stop': 0.0046135132549622124, 'max_trades_per_day': 4}",0.00034953943001964945,0.125,16,-0.00032419219463084237,-8.101971916897856e-05
10,"{'vwap_dev_threshold': 0.0030825328436577893, 'stop_loss': 0.014266044930350413, 'take_profit': 0.038427538994350946, 'max_hold_minutes': 20, 'min_volume': 4989, 'trailing_stop': 0.005419980686798574, 'max_trades_per_day': 2}",0.00015746677877978072,0.2857142857142857,7,-0.000157479177974681,-8.997393156331453e-05
11,"{'vwap_dev_threshold': 0.0037483870969358406, 'stop_loss': 0.008480557430604196, 'take_profit': 0.01866820856416651, 'max_hold_minutes': 26, 'min_volume': 2539, 'trailing_stop': 0.006345222651443254, 'max_trades_per_day': 2}",0.00015929286255208643,0.42857142857142855,7,0.00011219578352725468,9.615249560548315e-05
12,"{'vwap_dev_threshold': 0.00334523664658096, 'stop_loss': 0.014090656902589864, 'take_profit': 0.010553752948009127, 'max_hold_minutes': 25, 'min_volume': 2680, 'trailing_stop': 0.005762403887429821, 'max_trades_per_day': 2}",0.000107942061789945,0.2857142857142857,7,-0.00010794788795360381,-6.167784904914985e-05
13,"{'vwap_dev_threshold': 0.003857277927708823, 'stop_loss': 0.018726204621724227, 'take_profit': 0.018213229786612762, 'max_hold_minutes': 18, 'min_volume': 2041, 'trailing_stop': 0.008204835094788364, 'max_trades_per_day': 5}",0.00036938567480419306,0.14285714285714285,7,-0.0003037653063197107,-8.675802850487248e-05
14,"{'vwap_dev_threshold': 0.002562269345737003, 'stop_loss': 0.01346698319428598, 'take_profit': 0.010001281970824151, 'max_hold_minutes': 28, 'min_volume': 2996, 'trailing_stop': 0.005853100262733701, 'max_trades_per_day': 2}",0.00016452717565960481,0.25,8,-0.00016454071174011107,-8.225682016076372e-05
15,"{'vwap_dev_threshold': 0.004352660599960644, 'stop_loss': 0.00836648656882709, 'take_profit': 0.01935904426322127, 'max_hold_minutes': 56, 'min_volume': 3127, 'trailing_stop': 0.006636242467881346, 'max_trades_per_day': 2}",0.0003820571856421023,0.16666666666666666,6,-0.00028887125880484784,-9.625363115489865e-05
16,"{'vwap_dev_threshold': 0.0035066629929670435, 'stop_loss': 0.016680974425164738, 'take_profit': 0.013780896143293645, 'max_hold_minutes': 26, 'min_volume': 1903, 'trailing_stop': 0.0044924557358184975, 'max_trades_per_day': 5}",0.00021256498990124406,0.26666666666666666,15,-0.00010294589348691614,-5.4892805756856916e-05
17,"{'vwap_dev_threshold': 0.002653510647195005, 'stop_loss': 0.011780172550443222, 'take_profit': 0.020928179972810785, 'max_hold_minutes': 15, 'min_volume': 3334, 'trailing_stop': 0.007622224536117148, 'max_trades_per_day': 2}",0.0001224881546825247,0.5,8,0.0002195328064300821,0.0002195059162617302
18,"{'vwap_dev_threshold': 0.0025918495706795195, 'stop_loss': 0.012067688530162927, 'take_profit': 0.0346013527412553, 'max_hold_minutes': 16, 'min_volume': 4407, 'trailing_stop': 0.008350481228803951, 'max_trades_per_day': 3}",0.0002208254864594402,0.2727272727272727,11,-0.00012401158096811264,-6.762774330022841e-05
19,"{'vwap_dev_threshold': 0.0021368742065626, 'stop_loss': 0.019398986913299665, 'take_profit': 0.020686988745017006, 'max_hold_minutes': 50, 'min_volume': 3456, 'trailing_stop': 0.0075310866470451165, 'max_trades_per_day': 2}",0.00014379526072032998,0.125,8,-0.00013850347635338932,-3.46208900524741e-05
20,"{'vwap_dev_threshold': 0.0029718777813819517, 'stop_loss': 0.014864552772129136, 'take_profit': 0.013155223275959268, 'max_hold_minutes': 32, 'min_volume': 4336, 'trailing_stop': 0.008835663483130573, 'max_trades_per_day': 3}",0.00011930743333264611,0.5,8,0.0001542900725546419,0.00015427166460209668
21,"{'vwap_dev_threshold': 0.0029720306927872014, 'stop_loss': 0.01597794107066448, 'take_profit': 0.012347908253744641, 'max_hold_minutes': 31, 'min_volume': 4512, 'trailing_stop': 0.008654358531241906, 'max_trades_per_day': 3}",0.00011930743333264611,0.5,8,0.0001542900725546419,0.00015427166460209668
22,"{'vwap_dev_threshold': 0.0029420835449465617, 'stop_loss': 0.014990643004764072, 'take_profit': 0.01578896911524121, 'max_hold_minutes': 23, 'min_volume': 4925, 'trailing_stop': 0.009055556992211444, 'max_trades_per_day': 2}",0.00011185163741210487,0.5714285714285714,7,0.00023587380239729856,0.00026953990803003176
23,"{'vwap_dev_threshold': 0.0023666300337651775, 'stop_loss': 0.017604764912601236, 'take_profit': 0.016140580461908173, 'max_hold_minutes': 21, 'min_volume': 4901, 'trailing_stop': 0.008031103801229771, 'max_trades_per_day': 2}",0.000122473875372972,0.5714285714285714,7,0.00021439354666123825,0.00024499118748882705
24,"{'vwap_dev_threshold': 0.003359891316029011, 'stop_loss': 0.017351928805576757, 'take_profit': 0.016522127588884317, 'max_hold_minutes': 22, 'min_volume': 5000, 'trailing_stop': 0.008084708439125182, 'max_trades_per_day': 2}",0.00010818982124163042,0.5714285714285714,7,0.0002552335932751801,0.0002916639766838272
25,"{'vwap_dev_threshold': 0.0034560354135262225, 'stop_loss': 0.017780052903384132, 'take_profit': 0.011754883662290824, 'max_hold_minutes': 22, 'min_volume': 4844, 'trailing_stop': 0.00705014166123277, 'max_trades_per_day': 2}",0.00010818982124163042,0.5714285714285714,7,0.0002552335932751801,0.0002916639766838272
