datetime,close,high,low,open,volume
2025-05-06 13:50:00,110.879997,111.614998,110.821999,111.570000,3645985
2025-05-06 13:55:00,111.099998,111.370003,110.839996,110.885300,2722131
2025-05-06 14:00:00,111.425003,111.540001,110.920303,111.110001,2875457
2025-05-06 14:05:00,111.805099,111.820000,111.419998,111.419998,2570079
2025-05-06 14:10:00,111.915100,112.129997,111.730003,111.808800,3244850
2025-05-06 14:15:00,112.440002,112.480003,111.790001,111.915001,2714526
2025-05-06 14:20:00,112.754997,112.925797,112.440002,112.440002,3443401
2025-05-06 14:25:00,112.654999,112.970001,112.470001,112.769997,2920644
2025-05-06 14:30:00,113.040001,113.129997,112.589996,112.650002,2706468
2025-05-06 14:35:00,113.129997,113.190002,112.860001,113.025002,2151818
2025-05-06 14:40:00,113.035004,113.230003,112.974998,113.125000,1707710
2025-05-06 14:45:00,113.144997,113.250000,113.010002,113.050003,1641296
2025-05-06 14:50:00,112.919998,113.150002,112.820000,113.139999,1706629
2025-05-06 14:55:00,112.714996,112.970001,112.699997,112.910103,1335670
2025-05-06 15:00:00,112.839897,112.870003,112.690002,112.709999,1321923
2025-05-06 15:05:00,112.610100,112.949997,112.580002,112.834999,1305147
2025-05-06 15:10:00,112.690002,112.759903,112.563698,112.618896,1048002
2025-05-06 15:15:00,112.760002,112.818901,112.580002,112.709999,1013689
2025-05-06 15:20:00,113.029999,113.114998,112.699997,112.764999,1591776
2025-05-06 15:25:00,113.070000,113.129997,112.900002,113.004997,953466
2025-05-06 15:30:00,113.065002,113.089996,112.864998,113.065002,877608
2025-05-06 15:35:00,113.055000,113.160004,113.010002,113.065002,866978
2025-05-06 15:40:00,112.815002,113.139999,112.760002,113.050102,1234312
2025-05-06 15:45:00,112.839996,112.940002,112.760002,112.814903,1291490
2025-05-06 15:50:00,112.684998,112.899803,112.629997,112.831001,1209723
2025-05-06 15:55:00,112.730003,112.830002,112.639999,112.690002,621839
2025-05-06 16:00:00,112.904999,112.930000,112.709999,112.720001,801453
2025-05-06 16:05:00,112.644897,112.904900,112.620102,112.904900,699777
2025-05-06 16:10:00,113.679703,113.790001,112.599998,112.650002,2933633
2025-05-06 16:15:00,113.349899,113.690002,113.260002,113.690002,1835259
2025-05-06 16:20:00,112.919998,113.445000,112.830002,113.349998,1715136
2025-05-06 16:25:00,113.017899,113.169998,112.910004,112.949997,1070451
2025-05-06 16:30:00,113.121300,113.169998,112.930000,113.010101,1124462
2025-05-06 16:35:00,113.209999,113.400002,113.110001,113.123596,1285497
