Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Datetime,,,,,
2025-05-06 13:30:00+00:00,480.7712097167969,481.17999267578125,480.5799865722656,481.1400146484375,0
2025-05-06 13:45:00+00:00,478.61090087890625,481.1099853515625,478.3999938964844,480.79998779296875,2114679
2025-05-06 14:00:00+00:00,480.06451416015625,480.7099914550781,478.20001220703125,478.6600036621094,1385017
2025-05-06 14:15:00+00:00,482.05499267578125,482.2900085449219,480.1000061035156,480.1000061035156,1684708
2025-05-06 14:30:00+00:00,482.2799987792969,482.5849914550781,481.6000061035156,482.0350036621094,783777
2025-05-06 14:45:00+00:00,482.1536865234375,482.9200134277344,481.79998779296875,482.30999755859375,807919
2025-05-06 15:00:00+00:00,482.32000732421875,482.79998779296875,481.75,482.2099914550781,710180
2025-05-06 15:15:00+00:00,483.0400085449219,483.1300048828125,482.04998779296875,482.319091796875,562518
2025-05-06 15:30:00+00:00,482.2300109863281,483.2900085449219,482.0799865722656,483.0199890136719,1408737
2025-05-06 15:45:00+00:00,481.92999267578125,482.489990234375,481.7052917480469,482.2059020996094,680168
2025-05-06 16:00:00+00:00,484.54998779296875,485.04998779296875,481.61529541015625,481.95001220703125,1426337
2025-05-06 16:15:00+00:00,482.19989013671875,484.6099853515625,481.8599853515625,484.6099853515625,1787897
2025-05-06 16:30:00+00:00,481.9700012207031,483.1199951171875,481.8500061035156,482.1400146484375,755343
2025-05-06 16:45:00+00:00,481.1600036621094,482.1700134277344,481.05999755859375,482.0,1081781
2025-05-06 17:00:00+00:00,482.0538024902344,482.4800109863281,481.2149963378906,481.2149963378906,733222
2025-05-06 17:15:00+00:00,481.5899963378906,482.4198913574219,481.1419982910156,482.05999755859375,566701
2025-05-06 17:30:00+00:00,480.7395935058594,482.17999267578125,480.6000061035156,481.6400146484375,839060
2025-05-06 17:45:00+00:00,480.7250061035156,481.1257019042969,480.5400085449219,480.75,644253
2025-05-06 18:00:00+00:00,481.30999755859375,481.94000244140625,480.7699890136719,480.7900085449219,805609
2025-05-06 18:15:00+00:00,482.7300109863281,482.83990478515625,481.3399963378906,481.3399963378906,763198
2025-05-06 18:30:00+00:00,482.510009765625,483.010009765625,482.32000732421875,482.6600036621094,806568
2025-05-06 18:45:00+00:00,483.32000732421875,483.3399963378906,482.1700134277344,482.5,737871
2025-05-06 19:00:00+00:00,483.0199890136719,483.42999267578125,482.3800048828125,483.30999755859375,838219
2025-05-06 19:15:00+00:00,483.20001220703125,483.30950927734375,482.5799865722656,483.0400085449219,636794
2025-05-06 19:30:00+00:00,483.53839111328125,483.6899108886719,482.95001220703125,483.1499938964844,777671
2025-05-06 19:45:00+00:00,481.3900146484375,483.79998779296875,481.30999755859375,483.5199890136719,2444977
