datetime,close,high,low,open,volume
2025-05-09 13:46:00,198.820007,198.850006,198.429993,198.460403,103712
2025-05-09 13:47:00,198.895004,198.994995,198.729996,198.849899,112148
2025-05-09 13:48:00,199.139999,199.169998,198.907593,198.907593,164406
2025-05-09 13:49:00,199.240295,199.270004,199.080002,199.130005,117192
2025-05-09 13:50:00,199.130005,199.340195,199.029999,199.240295,122802
2025-05-09 13:51:00,199.050003,199.145004,198.910004,199.110001,83810
2025-05-09 13:52:00,198.809906,199.029999,198.710007,199.029999,80830
2025-05-09 13:53:00,198.899994,199.000000,198.770004,198.809998,49952
2025-05-09 13:54:00,199.220200,199.250000,198.860001,198.889999,85000
2025-05-09 13:55:00,199.199997,199.289993,199.160004,199.199997,130654
2025-05-09 13:56:00,199.270203,199.300003,199.160095,199.220001,77099
2025-05-09 13:57:00,199.414993,199.490005,199.259995,199.270599,88501
2025-05-09 13:58:00,199.690002,199.729996,199.410004,199.419998,87146
2025-05-09 13:59:00,199.750000,199.800003,199.649994,199.699997,167970
2025-05-09 14:00:00,199.964996,199.999893,199.654999,199.744995,141804
2025-05-09 14:01:00,199.940002,200.119904,199.860001,199.975296,176406
2025-05-09 14:02:00,200.140198,200.235001,199.955002,199.955002,152438
2025-05-09 14:03:00,200.009995,200.180695,199.960007,200.149994,164031
2025-05-09 14:04:00,200.039993,200.139999,199.979996,200.009995,94488
2025-05-09 14:05:00,199.750000,200.059906,199.570007,200.044998,147539
2025-05-09 14:06:00,199.874496,199.929993,199.710007,199.755005,96383
2025-05-09 14:07:00,199.925507,200.069901,199.854996,199.880005,107341
2025-05-09 14:08:00,199.610001,199.934998,199.449997,199.910004,146992
2025-05-09 14:09:00,199.501907,199.710007,199.500000,199.610001,116931
2025-05-09 14:10:00,199.419800,199.529999,199.399994,199.500000,89769
2025-05-09 14:11:00,199.259995,199.419998,199.160004,199.399094,111033
2025-05-09 14:12:00,199.399994,199.514999,199.259995,199.309998,104894
2025-05-09 14:13:00,199.722397,199.722397,199.399994,199.399994,82835
2025-05-09 14:14:00,199.630005,199.764999,199.530106,199.700104,92459
2025-05-09 14:15:00,199.529999,199.729996,199.529999,199.649994,118771
2025-05-09 14:16:00,199.544907,199.555405,199.410004,199.534698,61770
2025-05-09 14:17:00,199.419998,199.570007,199.369995,199.559998,72778
2025-05-09 14:18:00,199.350006,199.429993,199.210007,199.419998,79608
2025-05-09 14:19:00,199.119995,199.389999,199.070007,199.330002,88545
2025-05-09 14:20:00,199.059998,199.190002,198.949997,199.089996,140916
2025-05-09 14:21:00,199.320007,199.341400,199.050003,199.055099,92210
2025-05-09 14:22:00,199.231903,199.320007,199.130005,199.320007,73556
2025-05-09 14:23:00,199.179993,199.320007,199.059998,199.220001,119264
2025-05-09 14:24:00,199.029999,199.179993,198.899994,199.179993,76991
2025-05-09 14:25:00,198.970001,199.130005,198.901505,199.029999,85062
2025-05-09 14:26:00,198.580002,198.940002,198.509995,198.940002,124130
2025-05-09 14:27:00,198.360001,198.639999,198.289993,198.589996,137412
2025-05-09 14:28:00,198.270004,198.357407,198.119995,198.357407,109178
2025-05-09 14:29:00,198.360107,198.380005,198.164993,198.259995,119585
