Metric,Value
Total Trades,593
Total Winning Trades,282
Total Losing Trades,311
Average Win,19.317431205673756
Average Loss,-19.965726045016037
Largest Win,143.52999999999986
Largest Loss,-94.09000000000127
Average Trade Duration,0 days 00:43:26.711635750
Most Profitable Symbol,GOOGL
Most Active Symbol,AAPL
